                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2582,                 1.7272,                 1.1226,                0.89676,                0.92103,                0.92691,                0.60112,                 1.2012,                0.81471,                 1.1234,             0.00023621,             0.00023621,             0.00023621
                      2,                 1.2362,                0.81557,                 1.1333,                0.64414,                0.90533,                0.65354,                0.41075,                 1.3692,                 2.7273,                 1.2336,             0.00047186,             0.00047186,             0.00047186
                      3,                 1.2125,                0.74663,                 1.1316,                0.93777,                0.93262,                0.97635,                0.63085,                 1.2192,                0.62649,                 1.1482,             0.00070516,             0.00070516,             0.00070516
                      4,                 1.2092,                0.69269,                 1.1202,                0.95117,                0.95327,                0.98232,                 0.6517,                 1.1729,                0.60046,                 1.1334,              0.0007034,              0.0007034,              0.0007034
                      5,                 1.1759,                0.68212,                 1.1309,                0.95717,                0.96147,                0.97987,                0.66459,                 1.1448,                 0.6458,                 1.1335,              0.0007034,              0.0007034,              0.0007034
                      6,                 1.1493,                0.62543,                 1.1168,                0.95131,                0.95888,                0.98016,                0.65071,                 1.1851,                0.56875,                  1.129,             0.00069986,             0.00069986,             0.00069986
                      7,                 1.1753,                0.64046,                 1.1181,                0.95301,                0.97241,                0.98492,                0.67482,                 1.1208,                0.53351,                 1.1038,             0.00069633,             0.00069633,             0.00069633
                      8,                 1.1397,                0.60528,                 1.1205,                0.95757,                0.94279,                0.98212,                0.66681,                 1.1548,                0.58467,                   1.12,             0.00069279,             0.00069279,             0.00069279
                      9,                 1.0934,                0.57546,                  1.076,                0.97271,                0.96802,                0.98735,                0.68522,                   1.11,                 0.4838,                 1.0889,             0.00068926,             0.00068926,             0.00068926
                     10,                 1.0928,                0.56073,                 1.0884,                0.97291,                0.97522,                0.98926,                0.68125,                 1.1013,                0.48838,                 1.0882,             0.00068573,             0.00068573,             0.00068573
                     11,                  1.077,                0.54821,                 1.0752,                0.97433,                0.97274,                0.99023,                0.68633,                 1.0872,                0.49052,                 1.0862,             0.00068219,             0.00068219,             0.00068219
                     12,                 1.0736,                0.53545,                 1.0877,                0.97389,                0.97294,                 0.9907,                0.69627,                  1.071,                 0.4601,                 1.0892,             0.00067866,             0.00067866,             0.00067866
                     13,                 1.0811,                0.52922,                 1.0857,                0.96461,                0.97372,                 0.9912,                0.71179,                 1.0368,                0.45728,                 1.0707,             0.00067512,             0.00067512,             0.00067512
                     14,                 1.0557,                0.52956,                 1.0744,                0.97937,                0.97571,                0.99113,                0.69953,                 1.0325,                0.46674,                 1.0748,             0.00067159,             0.00067159,             0.00067159
                     15,                 1.0316,                0.50786,                 1.0628,                 0.9698,                0.97412,                0.98837,                0.71281,                 1.0197,                0.47451,                 1.0601,             0.00066805,             0.00066805,             0.00066805
                     16,                 1.0324,                0.51576,                  1.067,                0.97281,                0.97425,                0.99152,                0.72086,                0.99503,                0.44153,                 1.0538,             0.00066452,             0.00066452,             0.00066452
                     17,                 1.0102,                 0.5069,                 1.0531,                0.97722,                0.97626,                0.98791,                 0.7112,                  1.009,                0.43696,                 1.0557,             0.00066099,             0.00066099,             0.00066099
                     18,                 1.0294,                0.50621,                 1.0601,                0.97941,                0.97485,                0.99009,                0.72441,                0.98909,                0.45202,                 1.0498,             0.00065745,             0.00065745,             0.00065745
                     19,                 1.0109,                0.49686,                 1.0353,                0.98238,                0.97396,                0.99248,                0.72864,                0.99348,                0.43766,                 1.0515,             0.00065392,             0.00065392,             0.00065392
                     20,                 0.9877,                0.50013,                 1.0311,                0.96271,                0.97882,                0.98111,                 0.7157,                0.98737,                0.43459,                 1.0501,             0.00065038,             0.00065038,             0.00065038
                     21,                0.98483,                0.48727,                 1.0414,                0.97145,                0.98123,                 0.9908,                0.72784,                0.97204,                0.42152,                 1.0439,             0.00064685,             0.00064685,             0.00064685
                     22,                0.97288,                0.47212,                 1.0437,                0.97283,                0.97781,                0.98333,                0.71355,                0.97224,                0.42646,                 1.0429,             0.00064331,             0.00064331,             0.00064331
                     23,                0.96129,                0.45418,                 1.0345,                0.97204,                0.97851,                0.98933,                 0.7218,                0.97078,                0.43231,                 1.0578,             0.00063978,             0.00063978,             0.00063978
                     24,                0.99221,                  0.485,                 1.0534,                0.97725,                0.97784,                0.99113,                 0.7367,                0.95807,                0.42996,                  1.047,             0.00063625,             0.00063625,             0.00063625
                     25,                0.96242,                0.47131,                 1.0369,                0.98337,                0.97764,                0.98925,                0.72168,                0.97136,                0.42003,                 1.0526,             0.00063271,             0.00063271,             0.00063271
                     26,                0.95272,                0.47368,                  1.033,                0.98648,                0.98475,                0.99375,                0.73384,                0.96209,                 0.4104,                 1.0512,             0.00062918,             0.00062918,             0.00062918
                     27,                0.96742,                0.46841,                 1.0474,                 0.9798,                0.98358,                0.99171,                0.72356,                0.99719,                0.42052,                 1.0618,             0.00062564,             0.00062564,             0.00062564
                     28,                0.94202,                0.45605,                 1.0219,                0.97551,                0.97082,                0.99102,                0.72814,                0.97247,                0.41412,                 1.0468,             0.00062211,             0.00062211,             0.00062211
                     29,                 0.9338,                0.45549,                 1.0295,                0.96888,                0.97629,                0.98283,                0.72892,                0.95584,                0.40748,                 1.0499,             0.00061857,             0.00061857,             0.00061857
                     30,                0.93322,                0.45113,                 1.0171,                0.97415,                0.97634,                0.98853,                0.73563,                0.93443,                0.42375,                 1.0365,             0.00061504,             0.00061504,             0.00061504
                     31,                0.93166,                0.45749,                 1.0221,                  0.983,                0.97943,                0.99242,                 0.7392,                0.95274,                0.42037,                  1.044,             0.00061151,             0.00061151,             0.00061151
                     32,                0.93896,                0.45144,                 1.0261,                0.98179,                  0.981,                0.99228,                0.74107,                0.95523,                0.41327,                 1.0427,             0.00060797,             0.00060797,             0.00060797
                     33,                 0.9206,                0.45365,                 1.0258,                0.97696,                0.97616,                0.99031,                0.73346,                0.95473,                0.42778,                 1.0514,             0.00060444,             0.00060444,             0.00060444
                     34,                0.91389,                0.43856,                 1.0197,                 0.9836,                0.98262,                0.99279,                 0.7472,                0.92225,                0.39245,                 1.0351,              0.0006009,              0.0006009,              0.0006009
                     35,                0.90908,                0.43784,                 1.0217,                0.98114,                0.98036,                  0.992,                0.74561,                0.93326,                0.39587,                 1.0476,             0.00059737,             0.00059737,             0.00059737
                     36,                0.91951,                0.44161,                 1.0306,                0.98212,                0.98688,                0.99189,                0.74344,                0.92031,                0.39229,                 1.0355,             0.00059383,             0.00059383,             0.00059383
                     37,                0.88825,                 0.4331,                 1.0091,                0.97901,                0.98083,                0.99234,                0.75416,                 0.9229,                0.38529,                 1.0348,              0.0005903,              0.0005903,              0.0005903
                     38,                0.90776,                0.42712,                 1.0094,                0.97945,                0.98708,                0.99365,                0.75145,                0.92479,                0.38791,                 1.0285,             0.00058677,             0.00058677,             0.00058677
                     39,                0.90787,                 0.4357,                 1.0098,                0.97465,                0.98486,                  0.993,                0.74023,                0.92947,                0.39207,                 1.0337,             0.00058323,             0.00058323,             0.00058323
                     40,                0.88239,                0.43294,                 1.0078,                0.97799,                0.99092,                0.99081,                  0.746,                0.91349,                0.38074,                 1.0363,              0.0005797,              0.0005797,              0.0005797
                     41,                0.89364,                 0.4378,                 1.0112,                0.98397,                0.98495,                0.99327,                0.75129,                0.90867,                0.38296,                 1.0427,             0.00057616,             0.00057616,             0.00057616
                     42,                0.88397,                0.43145,                 1.0088,                0.98717,                0.98939,                0.99389,                 0.7542,                 0.9308,                 0.3865,                 1.0497,             0.00057263,             0.00057263,             0.00057263
                     43,                0.85308,                0.41915,                 1.0005,                0.97836,                 0.9828,                0.99295,                0.74859,                0.93046,                0.38544,                 1.0319,             0.00056909,             0.00056909,             0.00056909
                     44,                0.87917,                0.41607,                  0.996,                0.98745,                0.97998,                0.99364,                0.75652,                0.95231,                0.38321,                 1.0313,             0.00056556,             0.00056556,             0.00056556
                     45,                0.86237,                0.41537,                 1.0126,                0.98403,                0.98104,                0.99364,                0.75903,                0.91737,                0.38548,                 1.0366,             0.00056203,             0.00056203,             0.00056203
                     46,                0.87122,                0.41839,                0.99123,                0.98164,                0.98506,                0.99337,                0.75965,                0.90894,                0.37788,                 1.0319,             0.00055849,             0.00055849,             0.00055849
